Filename,Movement Detected,Animal Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0223.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0224.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0225.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0226.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0227.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0228.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0229.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0230.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0231.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0232.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0233.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0234.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0235.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0236.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0237.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0238.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0239.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0240.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0241.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0242.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0243.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0244.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0245.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0246.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0247.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0248.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0249.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0250.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0251.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0252.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0253.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0254.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0255.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0256.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0257.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0258.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0259.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0260.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0261.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0262.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0263.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0264.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0265.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0266.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0267.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0268.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0269.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0270.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0271.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0272.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0273.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0274.AVI,True,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0275.AVI,True,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0276.AVI,True,True
