Filename,Movement Detected
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0194.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0195.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0196.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0197.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0198.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0199.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0200.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0201.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0202.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0203.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0204.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0205.AVI,False
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0206.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0207.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0208.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0209.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0210.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0211.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0212.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0213.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0214.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0215.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0216.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0217.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0218.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0219.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0220.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0221.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0222.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0223.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0224.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0225.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0226.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0227.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0228.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0229.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0230.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0231.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0232.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0233.AVI,True
D:\temp\trail_cam\DCIM_241110_250404\100MEDIA\DSCF0234.AVI,True
